longitude,countyFIPS,monthlyHoaFee,annualHomeownersInsurance,yearBuilt,latitude,rentZestimate,timeOnZillow,livingArea,zipcode,propertyTaxRate,bathrooms,bedrooms,price,homeType_CONDO,homeType_SINGLE_FAMILY,homeType_OTHER,cluster,cluster_average_price
-149.9235,2020.0,0.0,4341,1981.0,61.205105,4754.0,3325.0,3763.0,99517,1.31,4.0,4.0,1033500,0,1,0,0,657634.9143610013
-149.92574,2020.0,0.0,4169,1988.0,61.205616,4214.0,2237.0,3873.0,99517,1.31,3.0,3.0,992700,0,1,0,0,657634.9143610013
-149.92482,2020.0,0.0,3064,1979.0,61.203815,4244.0,4305.0,3686.0,99517,1.31,3.0,3.0,729500,0,1,0,0,657634.9143610013
-149.92622,2020.0,0.0,1370,1966.0,61.205193,2970.0,6843.0,1644.0,99517,1.31,2.0,4.0,326300,0,1,0,3,380546.2917827298
-149.89891,2020.0,0.0,1486,1949.0,61.202717,1475.0,2258.0,480.0,99503,1.31,1.0,1.0,353800,0,1,0,3,380546.2917827298
-149.8992,2020.0,358.0,1392,1955.0,61.202717,2598.0,4941.0,1404.0,99503,1.31,2.0,4.0,331500,0,1,0,3,380546.2917827298
-149.89949,2020.0,358.0,1625,1952.0,61.202713,2621.0,4060.0,1584.0,99503,1.31,2.0,3.0,386800,0,1,0,3,380546.2917827298
-149.90012,2020.0,358.0,1679,1957.0,61.20271,2504.0,3863.0,1400.0,99503,1.31,2.0,3.0,399700,0,1,0,3,380546.2917827298
-149.9004,2020.0,358.0,1261,1956.0,61.20271,2045.0,3896.0,900.0,99503,1.31,1.0,3.0,300200,0,1,0,3,380546.2917827298
-149.9007,2020.0,358.0,1176,1956.0,61.20271,2144.0,4967.0,983.0,99503,1.31,2.0,2.0,280100,0,1,0,3,380546.2917827298
-149.90097,2020.0,0.0,1535,1968.0,61.202713,2520.0,6376.0,1568.0,99503,1.31,2.0,4.0,365400,0,0,1,2,418509.68133802817
-149.90128,2020.0,0.0,2205,1963.0,61.202713,3070.0,42.0,3276.0,99503,1.31,4.0,6.0,525000,0,0,1,2,418509.68133802817
-149.90154,2020.0,358.0,2711,1963.0,61.202713,2738.0,3717.0,4032.0,99503,1.31,4.0,8.0,645500,0,0,1,2,418509.68133802817
-149.90204,2020.0,358.0,2124,1964.0,61.202705,2785.0,4071.0,2568.0,99503,1.31,3.0,5.0,505800,0,0,1,2,418509.68133802817
-149.89804,2020.0,0.0,1110,1964.0,61.20435,2062.0,3333.0,1226.0,99503,1.31,1.5,3.0,264300,1,0,0,1,200173.4314516129
-149.8995,2020.0,0.0,1011,1964.0,61.204056,2062.0,5515.0,1226.0,99503,1.31,1.5,3.0,240800,1,0,0,1,200173.4314516129
-149.90012,2020.0,0.0,1315,1964.0,61.20371,2243.0,3975.0,1631.0,99503,1.31,2.0,2.0,313100,1,0,0,1,200173.4314516129
-149.89893,2020.0,0.0,1580,1944.0,61.205936,1995.0,4795.0,811.0,99501,1.31,1.0,2.0,376300,0,1,0,3,380546.2917827298
-149.90321,2020.0,0.0,1624,1950.0,61.199608,2619.0,4606.0,1648.0,99503,1.31,2.0,3.0,386600,0,1,0,3,380546.2917827298
-149.90475,2020.0,0.0,754,1977.0,61.19922,1419.0,1442.0,660.0,99503,1.31,1.0,1.0,179600,0,0,1,2,418509.68133802817
-149.90475,2020.0,510.0,725,1977.0,61.19922,1481.0,1978.0,660.0,99503,1.31,1.0,1.0,172600,1,0,0,1,200173.4314516129
-149.90475,2020.0,510.0,991,1977.0,61.19922,1707.0,4191.0,911.0,99503,1.31,1.0,2.0,236000,1,0,0,1,200173.4314516129
-149.90475,2020.0,510.0,1433,1977.0,61.19922,2634.0,1699.0,1428.0,99503,1.31,2.0,2.0,341100,1,0,0,1,200173.4314516129
-149.8989,2020.0,0.0,571,1970.0,61.199986,1543.0,4396.0,835.0,99503,1.31,1.0,2.0,136000,1,0,0,1,200173.4314516129
-149.90262,2020.0,0.0,2166,1959.0,61.200104,3168.0,7648.0,2622.0,99503,1.31,3.0,3.0,515800,0,1,0,3,380546.2917827298
-149.8996,2020.0,0.0,1401,1975.0,61.201416,2469.0,4768.0,1600.0,99503,1.31,2.5,3.0,333600,1,0,0,1,200173.4314516129
-149.90114,2020.0,273.0,1122,1975.0,61.200836,1503.0,1140.0,1327.0,99503,1.31,1.0,2.0,267200,0,0,1,2,418509.68133802817
-149.9007,2020.0,404.0,1347,1975.0,61.20083,2236.0,1915.0,1360.0,99503,1.31,3.0,2.0,320800,1,0,0,1,200173.4314516129
-149.90332,2020.0,363.0,1605,1979.0,61.201874,2419.0,3975.0,1886.0,99503,1.31,2.0,3.0,382200,0,0,1,2,418509.68133802817
-149.9038,2020.0,0.0,1689,1979.0,61.200928,2449.0,4152.0,1865.0,99503,1.31,2.0,3.0,402100,1,0,0,1,200173.4314516129
-149.89862,2020.0,0.0,1011,1948.0,61.202133,1568.0,3975.0,552.0,99503,1.31,1.0,1.0,240800,0,1,0,3,380546.2917827298
-149.89914,2020.0,0.0,1347,1953.0,61.20176,1900.0,5279.0,880.0,99503,1.31,1.0,2.0,320700,0,1,0,3,380546.2917827298
-149.89972,2020.0,0.0,1287,1975.0,61.20114,2469.0,5914.0,1600.0,99503,1.31,2.5,3.0,306500,1,0,0,1,200173.4314516129
-149.90216,2020.0,0.0,1600,1979.0,61.201584,2418.0,7642.0,1790.0,99503,1.31,2.0,3.0,381000,1,0,0,1,200173.4314516129
-149.90189,2020.0,363.0,1473,1979.0,61.20166,2246.0,3704.0,1836.0,99503,1.31,2.0,2.0,350800,1,0,0,1,200173.4314516129
-149.90173,2020.0,363.0,1591,1979.0,61.201687,2425.0,5209.0,1807.0,99503,1.31,2.0,3.0,378800,1,0,0,1,200173.4314516129
-149.906,2020.0,0.0,1731,1957.0,61.20241,2701.0,3763.0,2752.0,99503,1.31,0.0,4.0,412100,0,1,0,3,380546.2917827298
-149.90582,2020.0,0.0,5982,2002.0,61.20199,4942.0,5682.0,5326.0,99503,1.31,7.0,5.0,1424300,0,1,0,0,657634.9143610013
-149.91068,2020.0,0.0,1929,1956.0,61.20019,2846.0,7146.0,2064.0,99503,1.31,2.0,3.0,459300,0,1,0,3,380546.2917827298
-149.91153,2020.0,0.0,1399,1955.0,61.199,1736.0,2134.0,1728.0,99503,1.31,1.0,2.0,333100,0,1,0,3,380546.2917827298
-149.90974,2020.0,319.0,534,1977.0,61.20056,1366.0,5873.0,600.0,99503,1.31,1.0,1.0,127200,1,0,0,1,200173.4314516129
-149.90974,2020.0,319.0,552,1977.0,61.20056,1389.0,5935.0,625.0,99503,1.31,1.0,1.0,131500,0,0,1,2,418509.68133802817
-149.90927,2020.0,374.0,1824,1979.0,61.200756,2729.0,4761.0,1866.0,99503,1.31,2.5,2.0,434200,1,0,0,1,200173.4314516129
-149.90977,2020.0,374.0,1390,1979.0,61.201096,2055.0,3721.0,1065.0,99503,1.31,2.0,2.0,330900,1,0,0,1,200173.4314516129
-149.90982,2020.0,0.0,1624,1979.0,61.20071,2264.0,5634.0,1273.0,99503,1.31,2.0,2.0,386600,1,0,0,1,200173.4314516129
-149.92496,2020.0,0.0,2786,1972.0,61.199482,3719.0,3826.0,2810.0,99517,1.31,3.5,4.0,663300,0,1,0,0,657634.9143610013
-149.92242,2020.0,0.0,2694,1978.0,61.199093,3579.0,3448.0,2736.0,99517,1.31,3.0,3.0,641400,0,1,0,0,657634.9143610013
-149.92075,2020.0,0.0,2622,1978.0,61.19879,3535.0,4019.0,2704.0,99517,1.31,3.0,4.0,624300,0,1,0,0,657634.9143610013
-149.92072,2020.0,0.0,3326,1979.0,61.20039,4571.0,4319.0,4125.0,99517,1.31,2.5,4.0,792000,0,1,0,0,657634.9143610013
-149.92336,2020.0,0.0,2774,1979.0,61.200886,3913.0,3780.0,3124.0,99517,1.31,2.5,4.0,660400,0,1,0,0,657634.9143610013
-149.9255,2020.0,0.0,3425,1978.0,61.200756,4490.0,2069.0,4050.0,99517,1.31,3.0,4.0,815500,0,1,0,0,657634.9143610013
-149.92746,2020.0,0.0,3625,1981.0,61.199085,4689.0,3633.0,3910.0,99517,1.31,4.0,5.0,863000,0,1,0,0,657634.9143610013
